Running Times of three sorting algorithms:

N=5000:	 T_ss=12,	 T_ms=1,	 T_qs=0
N=5000:	 T_ss=9,	 T_ms=0,	 T_qs=0
N=5000:	 T_ss=9,	 T_ms=0,	 T_qs=0
N=5000:	 T_ss=9,	 T_ms=0,	 T_qs=0
N=5000:	 T_ss=9,	 T_ms=0,	 T_qs=0

N=10000:	 T_ss=39,	 T_ms=0,	 T_qs=0
N=10000:	 T_ss=39,	 T_ms=0,	 T_qs=0
N=10000:	 T_ss=39,	 T_ms=0,	 T_qs=0
N=10000:	 T_ss=39,	 T_ms=0,	 T_qs=0
N=10000:	 T_ss=39,	 T_ms=0,	 T_qs=0

N=20000:	 T_ss=157,	 T_ms=1,	 T_qs=0
N=20000:	 T_ss=156,	 T_ms=1,	 T_qs=0
N=20000:	 T_ss=156,	 T_ms=1,	 T_qs=0
N=20000:	 T_ss=156,	 T_ms=1,	 T_qs=0
N=20000:	 T_ss=157,	 T_ms=1,	 T_qs=0

N=40000:	 T_ss=635,	 T_ms=4,	 T_qs=0
N=40000:	 T_ss=630,	 T_ms=4,	 T_qs=0
N=40000:	 T_ss=628,	 T_ms=4,	 T_qs=0
N=40000:	 T_ss=627,	 T_ms=5,	 T_qs=0
N=40000:	 T_ss=629,	 T_ms=1,	 T_qs=0

N=80000:	 T_ss=2528,	 T_ms=2,	 T_qs=0
N=80000:	 T_ss=2523,	 T_ms=2,	 T_qs=0
N=80000:	 T_ss=2525,	 T_ms=3,	 T_qs=0
N=80000:	 T_ss=2520,	 T_ms=8,	 T_qs=0
N=80000:	 T_ss=2521,	 T_ms=8,	 T_qs=0

N=160000:	 T_ss=10153,	 T_ms=17,	 T_qs=2
N=160000:	 T_ss=10106,	 T_ms=17,	 T_qs=1
N=160000:	 T_ss=10103,	 T_ms=17,	 T_qs=1
N=160000:	 T_ss=10099,	 T_ms=17,	 T_qs=1
N=160000:	 T_ss=10128,	 T_ms=18,	 T_qs=1

End of output
